universe,ticker,score,points,computed,unavailable,roa_positive,ocf_positive,roa_improved,ocf_exceeds_net_income,ltd_ratio_decreased,current_ratio_improved,no_new_share_issuance,gross_margin_improved,asset_turnover_improved,note
defensive_16_v1,PG,6,6,9,0,P,P,-,P,P,-,P,-,P,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,KO,7,7,9,0,P,P,P,-,P,P,P,P,-,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,CL,5,5,9,0,P,P,-,P,P,-,P,-,-,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,KMB,4,4,9,0,P,P,-,P,P,-,-,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,PEP,5,5,9,0,P,P,-,P,-,P,P,-,-,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,MCD,6,6,9,0,P,P,-,P,P,-,P,P,-,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,WMT,7,7,9,0,P,P,P,P,P,-,P,P,-,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,MDLZ,5,5,9,0,P,P,-,P,-,-,P,-,P,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,GIS,5,5,9,0,-,P,-,P,-,P,P,-,P,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,HSY,4,4,9,0,P,P,-,P,-,P,-,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,JNJ,3,3,9,0,P,P,P,-,-,-,-,-,-,"F-Score 3/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,ABT,5,5,9,0,P,P,-,P,P,-,-,P,-,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,MRK,4,4,9,0,P,P,-,-,-,P,P,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,T,6,6,9,0,P,P,P,P,-,P,P,-,-,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,VZ,4,4,9,0,P,P,-,P,-,P,-,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_16_v1,MMM,5,5,9,0,P,P,-,-,-,P,P,-,P,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,PG,6,6,9,0,P,P,-,P,P,-,P,-,P,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,KO,7,7,9,0,P,P,P,-,P,P,P,P,-,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,PEP,5,5,9,0,P,P,-,P,-,P,P,-,-,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,CL,5,5,9,0,P,P,-,P,P,-,P,-,-,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,KMB,4,4,9,0,P,P,-,P,P,-,-,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,JNJ,3,3,9,0,P,P,P,-,-,-,-,-,-,"F-Score 3/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,MRK,4,4,9,0,P,P,-,-,-,P,P,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,ABBV,7,7,9,0,P,P,-,P,P,P,-,P,P,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,PFE,5,5,9,0,P,P,-,P,-,-,-,P,P,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,MCD,6,6,9,0,P,P,-,P,P,-,P,P,-,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,WMT,7,7,9,0,P,P,P,P,P,-,P,P,-,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,MO,6,6,9,0,P,P,-,P,-,P,P,P,-,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,VZ,4,4,9,0,P,P,-,P,-,P,-,-,-,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,DUK,7,7,9,0,P,P,P,P,P,-,-,P,P,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,SO,4,4,9,0,P,P,-,P,-,-,-,-,P,"F-Score 4/9 — computed from 9 checks, 0 unavailable"
defensive_income_16_v1,NEE,5,5,9,0,P,P,-,P,-,P,-,P,-,"F-Score 5/9 — computed from 9 checks, 0 unavailable"
growth_40_v1,AAPL,8,8,9,0,P,P,P,-,P,P,P,P,P,"F-Score 8/9 — computed from 9 checks, 0 unavailable"
growth_40_v1,ABBV,7,7,9,0,P,P,-,P,P,P,-,P,P,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
growth_40_v1,ADBE,7,7,9,0,P,P,P,P,-,-,P,P,P,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
growth_40_v1,AMD,7,7,9,0,P,P,P,P,-,P,-,P,P,"F-Score 7/9 — computed from 9 checks, 0 unavailable"
growth_40_v1,AMZN,6,6,9,0,P,P,P,P,P,-,-,P,-,"F-Score 6/9 — computed from 9 checks, 0 unavailable"
